Ativo	Data	Último (R$)	Var. Dia	Var. Sem	Var. Mês	Var. Ano	Var. 12M	Val. Mín	Val. Máx	Volume	Quantidade de ações	Empresa	Segmento	Idade	Catedoria_idade	Var. Dia (%)	Valor Inicial (R$)	Variação (R$)	Resultado	Var. Sem. (%)	Valor Inicial (R$)	Variação. Sem. (R$)	Resultado	Var. Mês (%)	Valor Inical (R$)	Variação (R$)	Resultado	Var. Ano (%)	Var. Incial (R$)	Variação (R$)	Resultado	Var. 12M(%)	Valor Inicial (R$)	Variação (R$)	Resultado
AZUL4	1/26/2024	14,27	1,42	8,85	-10,87	-10,87	18,52	13,8	14,36	270,24 M	327.593.725	Azul	Transporte Aéreo	15	11-20 anos	0,0142	R$ 14,07	R$ 65.452.205,55	Subiu	0,0885	R$ 13,11	R$ 380.079.446,33	Subiu	-0,1087	16,01	-R$ 570.118.567,19	Desceu	-0,1087	R$ 16,01	-R$ 570.118.567,19	Desceu	0,1852	R$ 12,04	R$ 730.480.937,23	Subiu
RRRP3	1/26/2024	28,75	1,41	-2,71	9,4	9,4	-37,7	28	28,75	78,44 M	235.665.566	3R Petroleum	Petróleo e Gás	11	11-20 anos	0,0141	R$ 28,35	R$ 94.204.643,35	Subiu	-0,0271	R$ 29,55	-R$ 188.727.447,95	Desceu	0,094	26,28	R$ 582.162.881,28	Subiu	0,0940	R$ 26,28	R$ 582.162.881,28	Subiu	-0,377	R$ 46,15	-R$ 4.100.032.349,09	Desceu
EQTL3	1/26/2024	35,32	1,34	2,76	-1,12	-1,12	28,01	34,85	35,76	412,31 M	1.095.587.251	Equatorial Energia	Energia Elétrica	24	21-30 anos	0,0134	R$ 34,85	R$ 511.671.895,45	Subiu	0,0276	R$ 34,37	R$ 1.039.328.056,70	Subiu	-0,0112	35,72	-R$ 438.305.812,20	Desceu	-0,0112	R$ 35,72	-R$ 438.305.812,20	Desceu	0,2801	R$ 27,59	R$ 8.467.142.638,59	Subiu
CSNA3	1/26/2024	18,16	1,33	4,79	-7,63	-7,63	12,45	18	18,49	109,86 M	600.865.451	Siderúrgica Nacional	Siderurgia	80	71-80 anos	0,0133	R$ 17,92	R$ 143.220.991,46	Subiu	0,0479	R$ 17,33	R$ 498.779.678,09	Subiu	-0,0763	19,66	-R$ 901.335.905,41	Desceu	-0,0763	R$ 19,66	-R$ 901.335.905,41	Desceu	0,1245	R$ 16,15	R$ 1.208.100.236,08	Subiu
YDUQ3	1/26/2024	19,77	1,28	-5,9	-11,82	-11,82	108,45	18,99	19,78	63,48 M	289.347.914	YDUQS	Educação	52	51-60 anos	0,0128	R$ 19,52	R$ 72.295.838,99	Subiu	-0,059	R$ 21,01	-R$ 358.665.342,54	Desceu	-0,1182	22,42	-R$ 766.786.409,96	Desceu	-0,1182	R$ 22,42	-R$ 766.786.409,96	Desceu	1,0845	R$ 9,48	R$ 2.976.149.080,23	Subiu
UGPA3	1/26/2024	28,31	1,28	2,35	6,79	6,79	119,82	27,84	28,39	104,52 M	1.086.411.192	Ultrapar	Química e Petróleo	84	81-90 anos	0,0128	R$ 27,95	R$ 388.705.223,96	Subiu	0,0235	R$ 27,66	R$ 706.177.889,47	Subiu	0,0679	26,51	R$ 1.955.569.648,29	Subiu	0,0679	R$ 26,51	R$ 1.955.569.648,29	Subiu	1,1982	R$ 12,88	R$ 16.764.716.437,59	Subiu
MRVE3	1/26/2024	8,08	1,25	1,38	-28,05	-28,05	14,12	7,93	8,23	109,48 M	376.187.582	MRV	Construção Civil	42	41-50 anos	0,0125	R$ 7,98	R$ 37.525.872,38	Subiu	0,0138	R$ 7,97	R$ 41.375.439,08	Subiu	-0,2805	11,23	-R$ 1.184.998.725,99	Desceu	-0,2805	R$ 11,23	-R$ 1.184.998.725,99	Desceu	0,1412	R$ 7,08	R$ 376.087.370,80	Subiu
ARZZ3	1/26/2024	57,91	1,15	-1,03	-10,26	-10,26	-28,97	56,22	59,29	202,83 M	62.305.891	Arezzo	Calçados	50	41-50 anos	0,0115	R$ 57,25	R$ 41.021.792,09	Subiu	-0,0103	R$ 58,51	-R$ 37.550.552,41	Desceu	-0,1026	64,53	-R$ 412.519.014,45	Desceu	-0,1026	R$ 64,53	-R$ 412.519.014,45	Desceu	-0,2897	R$ 81,53	-R$ 1.471.598.567,68	Desceu
BBDC4	1/26/2024	15,52	1,04	-0,77	-9,08	-9,08	16,11	15,35	15,62	354,3 M	5.146.576.868	Banco Bradesco	Banco	78	71-80 anos	0,0104	R$ 15,36	R$ 822.148.336,41	Subiu	-0,0077	R$ 15,64	-R$ 619.809.051,73	Desceu	-0,0908	17,07	-R$ 7.976.945.080,97	Desceu	-0,0908	R$ 17,07	-R$ 7.976.945.080,97	Desceu	0,1611	R$ 13,37	R$ 11.082.458.047,46	Subiu
BEEF3	1/26/2024	7,19	0,98	6,05	-3,75	-3,75	-48,31	7,11	7,24	42,44 M	261.036.182	Minerva	Alimentos	29	21-30 anos	0,0098	R$ 7,12	R$ 18.214.628,10	Subiu	0,0605	R$ 6,78	R$ 107.071.602,06	Subiu	-0,0375	7,47	-R$ 73.124.031,76	Desceu	-0,0375	R$ 7,47	-R$ 73.124.031,76	Desceu	-0,4831	R$ 13,91	-R$ 1.754.123.247,78	Desceu
PCAR3	1/26/2024	4,14	0,97	-6,33	1,97	1,97	-51,18	4,08	4,2	21,18 M	159.430.826	Grupo Pão de Açúcar	Varejo	71	71-80 anos	0,0097	R$ 4,10	R$ 6.340.916,22	Subiu	-0,0633	R$ 4,42	-R$ 44.604.207,46	Desceu	0,0197	4,06	R$ 12.751.651,77	Subiu	0,0197	R$ 4,06	R$ 12.751.651,77	Subiu	-0,5118	R$ 8,48	-R$ 691.950.685,24	Desceu
BRFS3	1/26/2024	14,61	0,96	12,38	5,79	5,79	78,17	14,46	14,93	101,38 M	1.677.525.446	BRF	Alimentos	9	0-10 anos	0,0096	R$ 14,47	R$ 233.045.769,57	Subiu	0,1238	R$ 13,00	R$ 2.699.920.332,48	Subiu	0,0579	13,81	R$ 1.341.384.486,01	Subiu	0,0579	R$ 13,81	R$ 1.341.384.486,01	Subiu	0,7817	R$ 8,20	R$ 10.752.881.617,01	Subiu
